NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,CO_ENTIDADE,TP_DEPENDENCIA,REDE,TP_LOCALIZACAO,TP_SITUACAO_FUNCIONAMENTO,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_TABLET_ALUNO,QT_TABLET_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,TP_REDE_LOCAL,IN_BANDA_LARGA,IN_REGULAR,QT_MAT_BAS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_TUR_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_PROF,QT_MAT_PROF_TEC,QT_MAT_EJA,QT_MAT_EJA_FUND,QT_MAT_EJA_MED,QT_MAT_ESP,QT_MAT_ESP_CC,QT_MAT_ESP_CE,mat_maior_turno,maior_turno,proxy_maior_turno,TCP_DOWN_MBPS,LAST_MEASURE2,n_disp_est,est_por_disp,nivel_dispos,i_dispos,vel_est,i_conec_simet,ano,Competência,versao,base,data_quest,i_comp,soma_i,i_viab,tam_esc,in_INF,in_FUND_AI,in_FUND_AF,atend_etapas0,apoio_IEC,apoio_CIEB,assessoria_cieb0,Destinação,Vl Devido Custeio,Vl Devido Capital,Vl Devido Total,Vl Ajuste Custeio,Vl Ajuste Capital,Vl Ajuste Total,Vl Final Devido Total,Vl Pago Custeio,Vl Pago Capital,Valor Pago Total,Data Ord. Pgto,in_MED
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026047,3,Municipal,2,1,1,4,0,0,0,0,1,1,1,2,1,1,53,53,0,12,4,30,22,8,23,23,0,0,0,0,0,0,0,2,2,0,53,DIURNO,28,NA,NA,4,7,2,0,NA,NA,2019,1,1,MEC,5/22/19 14:47,0,1,0,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026055,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,78,50,28,3,5,27,20,7,23,23,0,0,0,0,28,28,0,0,0,0,50,DIURNO,34,NA,NA,0,NA,1,0,NA,NA,2019,1,1,MEC,6/5/19 11:49,0,0,0,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026063,3,Municipal,2,1,1,4,1,1,1,44,1,1,1,2,1,1,569,473,96,2,24,126,77,49,347,199,148,0,0,0,96,96,0,13,13,0,473,DIURNO,239,NA,NA,49,"4,87755102",3,1,NA,NA,2019,2,1,MEC,5/23/19 11:48,0,2,0,G,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026071,3,Municipal,2,1,1,6,1,1,1,34,1,0,0,2,1,1,246,246,0,3,10,36,22,14,210,105,105,0,0,0,0,0,0,4,4,0,246,DIURNO,133,NA,NA,41,"3,243902439",3,1,NA,NA,2019,4,1,MEC,5/22/19 11:30,1,3,1,M,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026080,3,Municipal,2,1,0,0,0,0,1,34,1,1,0,0,0,1,290,290,0,13,11,39,39,0,251,79,172,0,0,0,0,0,0,18,18,0,290,DIURNO,157,NA,NA,34,"4,617647059",3,1,NA,NA,2019,2,1,MEC,7/16/19 14:58,0,2,0,M,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026098,3,Municipal,2,1,1,1,1,1,1,42,1,0,1,0,0,1,346,240,106,15,13,56,40,16,184,78,106,0,0,0,106,106,0,6,6,0,240,DIURNO,146,NA,NA,44,"3,318181818",3,1,NA,NA,2019,2,1,MEC,7/11/19 12:16,0,2,0,M,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026101,3,Municipal,2,1,0,0,0,0,1,30,1,0,1,0,0,1,38,18,20,7,3,18,18,0,0,0,0,0,0,0,20,20,0,0,0,0,20,NOTURNO,20,NA,NA,30,"0,666666667",4,1,NA,NA,2019,4,1,MEC,5/23/19 9:10,1,3,1,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026128,3,Municipal,2,1,0,0,0,0,0,0,1,0,1,9,1,1,59,37,22,4,3,37,23,14,0,0,0,0,0,0,22,22,0,0,0,0,37,DIURNO,37,NA,NA,0,NA,1,0,NA,NA,2019,2,1,MEC,5/22/19 9:54,0,1,0,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026136,3,Municipal,2,1,1,1,0,0,1,6,0,0,0,0,NA,1,51,51,0,9,3,33,14,19,18,18,0,0,0,0,0,0,0,0,0,0,51,DIURNO,29,NA,NA,7,"4,142857143",3,1,NA,NA,2019,2,1,MEC,5/22/19 14:58,0,1,0,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026144,3,Municipal,2,1,1,1,1,1,1,41,1,0,0,2,1,1,269,167,102,9,15,37,15,22,130,63,67,0,0,0,102,102,0,4,4,0,167,DIURNO,109,NA,NA,43,"2,534883721",3,1,NA,NA,2019,2,1,MEC,6/25/19 10:18,0,2,0,M,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
